"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-330",-0.393830201508654,6.63326355444105,-7.20233897596819,8.49736355057451e-12,1.6654945655731e-09,16.0134699033231
"hsa-miR-219",-1.40885576105474,9.57397946008297,-7.09091665427287,1.6490045203694e-11,1.6654945655731e-09,15.3629831204193
"hsa-miR-29c",-0.553603057483334,10.0752291219476,-6.63229350307105,2.36157541326794e-10,1.59012744493375e-08,12.7552481282508
"hsa-miR-338",-1.09816634984567,9.25445465393013,-6.57237281321502,3.31617149274528e-10,1.67466660383637e-08,12.4231380395255
"hsa-miR-137",-0.67851541681667,6.58578426214847,-6.38573455570865,9.42586571356629e-10,3.80804974828078e-08,11.4019540105493
"hsa-miR-139",-0.632039469279655,6.9197834279869,-6.20826469701832,2.49896745581789e-09,8.41319043458689e-08,10.4499925783028
"hsa-miR-124a",-1.30250777228758,9.33669335848908,-5.87185628431236,1.50781288501824e-08,4.35111718248121e-07,8.69841244207702
"hsa-miR-218",-0.512028193758739,6.60078074897817,-5.77679823210408,2.47466924319498e-08,6.24853983906732e-07,8.21643545678547
"hsa-miR-128b",-0.49068113624052,7.58703133564192,-5.62831455529977,5.30548496698709e-08,1.19078662592377e-06,7.47533822382001
"hsa-miR-342",-0.301465957805549,9.16789625879476,-5.58922665637754,6.47007421585883e-08,1.30695499160348e-06,7.28266526286931
"hsa-miR-129",-0.410962202593789,6.68721571674236,-5.31073448283287,2.58562508620432e-07,4.74814788557521e-06,5.9397503963085
"hsa-miR-34c",-0.2928852463585,6.20232281756332,-5.28785615880503,2.89075911569283e-07,4.86611117808293e-06,5.83179217421774
"hsa-miR-128a",-0.381772234221078,7.19472805883843,-5.26846157412361,3.17660375337722e-07,4.93595352447844e-06,5.74055818367916
"hsa-miR-29b",-0.482724375804736,11.0804915314891,-5.14124566544468,5.85960937370113e-07,8.45457923919735e-06,5.14865930512285
"hsa-miR-29a",-0.303135128453428,12.4928082547162,-4.85402865360865,2.24191614829027e-06,3.01911374636424e-05,3.85484827008621
"hsa-miR-204",0.73527298032222,9.07213056726201,4.77100250282299,3.26921566725556e-06,4.12738477991015e-05,3.49206453152702
"hsa-miR-138",-0.388588382474345,6.48160436500437,-4.52900473409652,9.54588173741395e-06,0.000113427535938683,2.46409784039026
"hsa-miR-23b",-0.359049930516177,10.5387745878952,-4.43937278476827,1.40452696094585e-05,0.000157619136728368,2.09466976819986
"hsa-miR-373*",0.186516538322955,6.3956048820262,4.27955190993645,2.75569932500316e-05,0.00029297434928981,1.45141617038327
"hsa-miR-329",-0.120841242476716,6.06498438251965,-4.21999201081809,3.52542170505309e-05,0.000356067592210362,1.21682511327009
"hsa-miR-132",-0.283422802658007,7.9509746068428,-3.90127587638005,0.000125882351072261,0.00121086832936175,0.00973564951883965
"hsa-miR-140",-0.231064340910049,8.31194309847162,-3.62282169463057,0.000359075797736904,0.00329696868831157,-0.976786838728795
"hsa-miR-222",0.442817754767646,9.76919843844978,3.58633354006466,0.000410100540263397,0.00360175257100897,-1.10125454317113
"hsa-miR-203",-0.0532501704087398,5.89282786676856,-3.56708608012324,0.000439689374586592,0.00370071890277048,-1.16645783281569
"hsa-miR-189",-0.0762924996432162,6.01313952563319,-3.53223624654903,0.000498430538978827,0.00402731875494892,-1.28371736974267
"hsa-miR-27a",0.281747373718954,10.2927555672751,3.50408315913561,0.000551181061077915,0.0042822528591438,-1.37769083838222
"hsa-miR-320",0.272954926895418,10.4065134962402,3.46376292409663,0.000635903116775861,0.00475749739217496,-1.51110108782434
"hsa-miR-155",0.322477376037829,8.52780629149782,3.44468711902767,0.000680102180743358,0.00490645144679137,-1.57373437727238
"hsa-miR-185",-0.198227882432025,8.6419415909083,-3.42354861453214,0.000732430319140353,0.0050692919633094,-1.64277623197398
"hsa-miR-194",-0.137501108044195,6.6273285780131,-3.41567533489832,0.000752865143065753,0.0050692919633094,-1.66839369645963
"hsa-miR-182",0.649571815262988,7.93428748925764,3.35548782503682,0.00092761337751099,0.00604444845991032,-1.86246551365657
"hsa-miR-130a",0.185568601011196,10.7126868089869,3.28761321359621,0.00116973064970545,0.00738392472626564,-2.0775711729045
"hsa-miR-221",0.300354830817071,7.88782835498253,3.26296886418608,0.00127133077207632,0.00757370255835587,-2.1546843419219
"hsa-miR-20a",0.291409550106779,10.0022376558079,3.26216438544045,0.00127478161873317,0.00757370255835587,-2.15719268654332
"hsa-let-7i",0.238013167742322,10.8274666699869,3.21540691076299,0.00149097341448609,0.00860504656360546,-2.30201237121824
"hsa-miR-15b",0.256425092437592,11.0370732563974,3.18313671118607,0.00165950403744935,0.00902373337839776,-2.40084767307083
"hsa-miR-296",0.185702138464706,6.78198764114847,3.18220849639636,0.00166460300992769,0.00902373337839776,-2.40367706923916
"hsa-miR-323",-0.150488861437498,6.23751316257642,-3.17627640553091,0.00169753400187681,0.00902373337839776,-2.42174151426069
"hsa-miR-101",-0.24358419023023,10.3138081939825,-3.14384757474625,0.00188846825047783,0.00955308118324226,-2.51994839705106
"hsa-miR-103",-0.190061298753756,10.6639306870437,-3.14332537609323,0.00189169924420639,0.00955308118324226,-2.52152225888817
"hsa-miR-22",-0.212114018279415,11.4706049807773,-3.01394866924109,0.00286963518347451,0.0141382026112647,-2.90404100902198
"hsa-miR-181d",0.1846940676902,9.18757934205677,2.99878240025797,0.00301061156115723,0.0144796079846134,-2.94791149994
"hsa-miR-23a",0.225980090923686,10.2646759272969,2.9315051550185,0.00371591234942187,0.0174561463856562,-3.14005079598724
"hsa-miR-363",-0.258248848683413,8.29433275704804,-2.9070565383758,0.004007620154733,0.0183986198012742,-3.20887328733678
"hsa-miR-17-5p",0.218808478786601,9.04227120758079,2.83724359869551,0.00495949556404466,0.0222626245319338,-3.40244589320717
"hsa-miR-193a",-0.220381123695506,7.54164533157205,-2.76840166270883,0.0060953848312593,0.0267666899111822,-3.58903010598781
"hsa-miR-106a",0.213470688168053,9.80219497141485,2.68012180509143,0.00789543994257763,0.0339335929446954,-3.82202005512952
"hsa-miR-16",0.189122629338399,11.4374044697293,2.64193259532893,0.00881301680105414,0.0370881123711028,-3.92061381767355
"hsa-miR-107",-0.126908825052283,10.9539657556507,-2.62527560469893,0.00924245232021623,0.0381015381364016,-3.96320070187311
"hsa-miR-301",-0.219782906688071,8.34257929650655,-2.60969145113482,0.00966115153362872,0.03903105219586,-4.00281508066411
"hsa-miR-141",-0.0738817049736111,6.17912018610044,-2.59153887042769,0.010170256520584,0.0402821924932936,-4.04867816173985
"hsa-miR-30e-5p",-0.176754737182604,8.50513538976856,-2.54857319404045,0.0114722822428398,0.0445654040971853,-4.15602896985025
"hsa-miR-200c",-0.0829989689798216,6.20869526420087,-2.52048534076949,0.0124020335827429,0.0472681279946051,-4.22529079125406
"hsa-miR-188",0.198784049684233,7.45468985615284,2.49298685570841,0.0133767621286793,0.0500389990739486,-4.29239590441701
"hsa-miR-331",-0.147472467815195,9.97230568313537,-2.47600221790058,0.0140123225788245,0.0514634392895008,-4.33349563893484
"hsa-miR-183",0.287190193335046,6.54231759617031,2.46215728062937,0.0145500977430089,0.0524842811444249,-4.36680089291601
"hsa-miR-191*",0.0626577423647019,5.99900294238428,2.43759065761099,0.0155495535780494,0.0551054354871226,-4.42546214191664
"hsa-miR-133b",-0.0862373301361918,6.19179308619214,-2.38415033543075,0.017936159878727,0.0624673154397044,-4.55113941068077
"hsa-miR-130b",0.198411624260217,8.47813418712227,2.36796453450056,0.0187201013732207,0.0640925504642472,-4.58868131842761
"hsa-miR-202",0.169510967176715,8.39787031732314,2.29185544834803,0.0228245737405359,0.0768427315931376,-4.76194319285816
"hsa-miR-187",0.0366551948229619,5.93849848803493,2.27681975407446,0.0237226838556383,0.0779265285565139,-4.79553286912763
"hsa-miR-19b",0.190250995596406,10.5321669485895,2.27361513116501,0.023918043418336,0.0779265285565139,-4.80266467605146
"hsa-miR-324-5p",-0.127663322897876,8.05034774506113,-2.19556205591797,0.029129589015774,0.092809523304507,-4.97340127943266
"hsa-miR-192",-0.128137108280888,7.10861377437555,-2.19178509661342,0.0294049974826161,0.092809523304507,-4.98151826204033
"hsa-miR-27b",-0.179599677710046,9.32134398522707,-2.16695383518409,0.031272393894176,0.0965299453291575,-5.03454886993693
"hsa-miR-134",0.134417161737665,6.93455620882533,2.16350764640961,0.0315394870877445,0.0965299453291575,-5.04186287640495
"hsa-let-7c",-0.129837715702605,12.934817180524,-2.05403870476926,0.0411100875958938,0.123943846184635,-5.26836844990857
"hsa-miR-126*",0.138856276182762,6.80835163242358,2.02755939873944,0.04376618495085,0.12692885073744,-5.32145670181754
"hsa-miR-326",-0.0376492310326757,5.9440792239607,-2.02645944627654,0.0438796046122565,0.12692885073744,-5.3236476228842
"hsa-miR-191",-0.0995466656722188,7.64087677225764,-2.02543710618894,0.0439852453050533,0.12692885073744,-5.32568292485867
"hsa-miR-200b",-0.0527789429087431,6.15906306149782,-1.96807430272325,0.050268822580067,0.143018340298219,-5.43829348368477
"hsa-miR-26b",0.160409914863157,9.08057557535808,1.94327397002137,0.0532112668256015,0.147317751018721,-5.48601164449101
"hsa-miR-136",-0.218085129141911,7.7285802089083,-1.94304911825874,0.053238593189934,0.147317751018721,-5.48644160320876
"hsa-miR-17-3p",0.109659257529735,7.74076378983406,1.9255797128126,0.0553980236682156,0.149707857485106,-5.51969921157498
"hsa-miR-325",0.0150509496282663,5.76999124554585,1.91968341412637,0.0561432659066265,0.149707857485106,-5.53085874670527
"hsa-miR-142-5p",-0.139222013792569,7.68345313687773,-1.91511536551707,0.0567263892211451,0.149707857485106,-5.53948161201181
"hsa-miR-198",0.150853720339215,7.29693879684279,1.91246638407689,0.0570668565661049,0.149707857485106,-5.54447284299106
"hsa-miR-214",0.162733224582518,7.29212235138428,1.89790206896339,0.0589694771277714,0.151434315269262,-5.57179550207129
"hsa-miR-370",0.364058579270349,9.7690768730262,1.89549514710125,0.0592889551673486,0.151434315269262,-5.57629140514068
"hsa-miR-186",-0.0978063993218941,7.46135484231004,-1.8903704760007,0.0599739862452522,0.151434315269262,-5.58584539163142
"hsa-miR-362",-0.0781220305398644,6.68879522802183,-1.86559670607637,0.0633793940907162,0.15805725439907,-5.63167783175349
"hsa-miR-200a",-0.0485259579493489,6.0815838580917,-1.84303097241707,0.0666197971360704,0.163649709770782,-5.67291491039817
"hsa-miR-146a",-0.103259431491501,7.14000179413537,-1.83880126740125,0.067242207480074,0.163649709770782,-5.68059016143102
"hsa-miR-148b",-0.0875661746229586,7.60972970653712,-1.82167936670115,0.0698111466896287,0.167759678741335,-5.71148473318434
"hsa-miR-376b",0.105995783263233,6.32706101387336,1.8165786520733,0.0705919440248192,0.167759678741335,-5.72063414147479
"hsa-miR-142-3p",-0.19129933374257,9.36388336171616,-1.79529341775999,0.0739284026184837,0.173645782894578,-5.75854547481619
"hsa-miR-324-3p",0.130495678817152,9.61315853926201,1.78401958367925,0.0757474910365099,0.174147652094305,-5.77844945259983
"hsa-miR-206",0.0649639668766362,6.03595450053275,1.78329100956475,0.0758663038826677,0.174147652094305,-5.77973155773542
"hsa-miR-19a",0.144628443632929,9.02998112295196,1.75449913477405,0.0806854677306921,0.183128814399998,-5.82999003353876
"hsa-miR-224",0.0997697318793307,5.98696519509607,1.72980191459897,0.0850160625449559,0.18938022468542,-5.87246645869827
"hsa-miR-215",-0.0607393738883175,6.48604534652402,-1.72813604401671,0.0853148536949171,0.18938022468542,-5.87531045567845
"hsa-miR-210",0.218702238092726,8.98256145417031,1.69916318057641,0.0906494544028091,0.199034671623559,-5.92434623537951
"hsa-miR-133a",-0.0523642314831694,6.07625747989956,-1.68475039435718,0.0934020774865833,0.201364487972208,-5.94843842984278
"hsa-miR-200a*",-0.0659081821741783,6.45626460860262,-1.68318912180533,0.0937042666801363,0.201364487972208,-5.95103621408399
"hsa-miR-199b",0.0933943986487824,6.32977365772926,1.63345309603958,0.103750881757448,0.22060713805268,-6.03256110853779
"hsa-let-7e",0.114397842503095,11.7981104413188,1.53417196926053,0.126370816143268,0.265905258968127,-6.18814811346872
"hsa-miR-34b",-0.135370921169939,7.96463306935808,-1.52477104309397,0.128699119843141,0.268012600085717,-6.20238578221717
"hsa-miR-368",0.116228603095585,6.77736669338865,1.50427093336472,0.133892602810024,0.275982711914539,-6.23313571383521
"hsa-miR-196b",-0.142486193638975,6.47411906040611,-1.46938806287933,0.143103059332531,0.291988060456275,-6.28452146880346
"hsa-miR-122a",0.0129609385737748,5.78789948029258,1.44854441151227,0.148835742067227,0.300648198975799,-6.31466151582167
"hsa-miR-21",0.20916535111111,13.9260340070306,1.41407333959181,0.158701463731064,0.317402927462129,-6.36357897016361
"hsa-miR-346",-0.0370239473986107,5.95553403842795,-1.40641657906109,0.160959013378434,0.318761967671016,-6.37428748060893
"hsa-miR-223",0.15183428917271,9.77515155892576,1.39248850054257,0.165128116256271,0.32213673708212,-6.39362034181244
"hsa-miR-361",-0.0661334997408556,8.94705599059389,-1.39009550406745,0.165852577507626,0.32213673708212,-6.39692289849557
"hsa-miR-211",-0.0378260333886411,5.91846466461572,-1.38419260847372,0.167649921367542,0.322526515392795,-6.40504556074424
"hsa-miR-208",0.0104308468692,5.7055399530786,1.37471233822964,0.170567282177645,0.325043311319664,-6.41801972621851
"hsa-miR-135a",-0.168739920784317,7.17431752602183,-1.34143932762342,0.181109601535149,0.341907845888786,-6.46286104543305
"hsa-miR-302b*",0.0107403505516359,5.77702948522271,1.33552979633796,0.183031858807824,0.342337365547967,-6.47071212149157
"hsa-miR-149",-0.13211435784199,9.13973958068559,-1.32942210147796,0.185034526630193,0.342908021828431,-6.47879060569727
"hsa-miR-375",-0.0233171873164197,5.80308017754149,-1.32080220939742,0.187888627639623,0.345031843483672,-6.49012986477383
"hsa-miR-148a",-0.176407898696487,8.3593424600786,-1.28983192789649,0.198412968356466,0.357338576335599,-6.53027099393263
"hsa-miR-199a*",0.122919158335544,7.50678411266812,1.28704064597398,0.199382407902773,0.357338576335599,-6.53384272256793
"hsa-miR-369-3p",0.0133160073334953,5.79727447437118,1.28556212341842,0.199897322405558,0.357338576335599,-6.53573155274755
"hsa-miR-125a",0.0809638445245096,10.8861166545546,1.26421345784122,0.207441522142733,0.367571819937123,-6.56276616169621
"hsa-miR-34a",0.149374580642812,10.2740179476332,1.2530252207534,0.211477294801235,0.371464465650865,-6.57675596850243
"hsa-let-7f",0.0914406563893024,12.4152472075153,1.24166847668276,0.215631976230206,0.372329532018188,-6.59083102885568
"hsa-miR-154*",-0.0578144827859459,6.2518122480393,-1.24160269086839,0.215656214089743,0.372329532018188,-6.59091219269892
"hsa-miR-15a",0.0856684894274498,9.66715326672926,1.2316169011733,0.219358276172515,0.375511625312271,-6.60318304866002
"hsa-miR-340",-0.0470758238035938,6.52626116741485,-1.21472628275719,0.225724329628322,0.383162307436311,-6.623716184208
"hsa-miR-30d",-0.0750579148347175,10.2823240286856,-1.18788468168672,0.236112157447667,0.392985716464444,-6.65577035370996
"hsa-miR-30e-3p",-0.0605546972515532,7.5116456360524,-1.18582527918724,0.236922990783574,0.392985716464444,-6.65820047152247
"hsa-miR-154",-0.0406183020310467,6.28694416635371,-1.18474830226893,0.237347808953773,0.392985716464444,-6.65946965770002
"hsa-miR-30c",-0.0876267311880827,9.46197312574673,-1.13554861966705,0.257335226797268,0.422475377575729,-6.71623484366981
"hsa-miR-181a*",-0.0536000638159333,6.91549638558952,-1.12644491978807,0.261158901246667,0.422475377575729,-6.72647751697419
"hsa-miR-197",0.105618463394688,7.89024328768996,1.12579641418387,0.261432783153297,0.422475377575729,-6.72720404707425
"hsa-miR-202*",0.00996278484427826,5.76028150968996,1.09058670741115,0.276603520623956,0.44077398914719,-6.76602870535027
"hsa-let-7g",-0.0723017348241122,11.1902347795066,-1.08941106946343,0.277120280305411,0.44077398914719,-6.76730398826868
"hsa-miR-25",0.0873255784533473,9.82102861230131,1.06334309673372,0.288748882386644,0.455681830016423,-6.79523163218798
"hsa-miR-220",-0.00719152667051315,5.77423568238428,-1.0068243329772,0.315084222020382,0.493387696497032,-6.85348152293625
"hsa-miR-372",0.0178754756467301,5.78469365342795,1.0012429101095,0.317768532929224,0.493763412705409,-6.85906290737408
"hsa-miR-367",-0.0116489762008163,5.93844507055895,-0.966792117322479,0.334670139853787,0.515545148366476,-6.89283250343933
"hsa-miR-195",0.0890455783339945,11.4168065325022,0.962350510037159,0.336890889031558,0.515545148366476,-6.8971009601184
"hsa-miR-217",0.0284688797674839,5.8224563219607,0.951759844711731,0.342224481368931,0.519769513056573,-6.90720009116692
"hsa-miR-302a*",0.00978889048390119,5.78900695308297,0.92304440413164,0.35695774426749,0.538100480164425,-6.93402483839194
"hsa-miR-1",-0.0227992165177282,5.87479511086026,-0.912703513944993,0.362360493825464,0.541085077215648,-6.94348512759073
"hsa-miR-365",-0.052475278676634,7.06286040317904,-0.909024718391828,0.364294903471922,0.541085077215648,-6.94682513247274
"hsa-miR-345",0.0360029318461628,7.06736876468559,0.885345531243107,0.376901055805515,0.555127740341341,-6.96800306103533
"hsa-miR-20b",0.067003138437089,8.36254811076419,0.872951539971812,0.383605948378953,0.555127740341341,-6.97886654653948
"hsa-miR-127",-0.0982916077341507,8.0801646899607,-0.869702943682983,0.385375458054276,0.555127740341341,-6.98168881868196
"hsa-miR-33b",0.00582346895678132,5.73264574429694,0.868622886127096,0.385964875511035,0.555127740341341,-6.98262482139863
"hsa-miR-302c*",0.015797056666587,6.13070565992576,0.865832636643535,0.387490155386778,0.555127740341341,-6.9850375674763
"hsa-miR-106b",0.0645850346633949,10.7959475526026,0.848645739757393,0.396966637960811,0.564699020197773,-6.99972911434527
"hsa-miR-26a",-0.0943428585506592,12.3938936364629,-0.841372456451563,0.401018992746155,0.566474381361702,-7.00585825578556
"hsa-miR-199a",0.0566878848442807,6.7405121949607,0.830490370027672,0.407128503982968,0.57111081808722,-7.01493060102229
"hsa-let-7a",0.0490025004852921,13.9804661651965,0.821966723467665,0.411952720241554,0.573892755095131,-7.02195473984301
"hsa-miR-151",-0.0385965155848815,8.02830747694323,-0.816628526699774,0.414991338993532,0.574166099155435,-7.02631713950992
"hsa-miR-302a",0.00706533142827492,5.83419074763755,0.804991075478846,0.421661675064012,0.579426247366874,-7.03572936486392
"hsa-miR-18b",-0.0195123505459165,6.2409665929607,-0.786259863240356,0.432529915956818,0.590344885292414,-7.05059680950313
"hsa-miR-376a*",-0.00882924483414715,5.82546005554585,-0.751750973606393,0.452974466797538,0.614099612705387,-7.07707577558958
"hsa-miR-193b",0.0549675452190339,8.70250204307424,0.737610929849793,0.461507719728833,0.618366257529307,-7.08758406904616
"hsa-miR-302c",0.00602106509158595,5.80170063871179,0.736397674416102,0.462244083598641,0.618366257529307,-7.0884764601034
"hsa-miR-152",-0.0507683425665846,7.93204869787773,-0.692906908369007,0.489071640860247,0.649950470090591,-7.11949959409052
"hsa-miR-18a*",0.0121073019419073,5.91896147910917,0.672344843836282,0.502043503403895,0.662828677696645,-7.13351253190999
"hsa-let-7b",0.0461325337107876,14.0769907308734,0.653483777259199,0.514101507799391,0.673598131758581,-7.14599653641625
"hsa-miR-10b",-0.120120297057609,8.46315210781659,-0.64180473936089,0.521643305245928,0.673598131758581,-7.15354940769167
"hsa-miR-205",-0.0105416380334926,6.01183131239738,-0.641771329442361,0.521664961759744,0.673598131758581,-7.15357081933383
"hsa-miR-28",-0.0333205366989393,7.40660305480786,-0.638882708797515,0.523539142010382,0.673598131758581,-7.1554178701613
"hsa-miR-144",0.0702470731393801,7.07528752255895,0.623554564077615,0.533542123553577,0.679463524127809,-7.1650801111993
"hsa-miR-18a",0.0351004479657657,7.75802667795196,0.621599019361395,0.534825249189711,0.679463524127809,-7.1662959888939
"hsa-miR-369-5p",-0.0123525941254892,5.99815113835371,-0.597042151316821,0.551070383561231,0.689260992260364,-7.18124040207523
"hsa-miR-143",0.0510543029275379,9.73425835714411,0.595840388318608,0.551871614144557,0.689260992260364,-7.18195634174406
"hsa-miR-328",0.0430606096022075,6.46450650573362,0.594488434036273,0.552773667060292,0.689260992260364,-7.18276003767726
"hsa-miR-105",-0.00468236447401971,5.76798336975546,-0.587498914246795,0.557448801450639,0.689401519567566,-7.18688606771926
"hsa-miR-126",0.0545202443331654,11.6320121025721,0.584125485459843,0.55971212479743,0.689401519567566,-7.18886005254168
"hsa-miR-181a",-0.0444263725911771,9.86338597504803,-0.578460168428522,0.563523201486516,0.689889010304704,-7.19214965239043
"hsa-miR-145",0.0497804920620109,10.5026063693013,0.550539678382148,0.582487105084926,0.708809609802139,-7.2078948140561
"hsa-miR-150",-0.0202638017058039,6.36925143887336,-0.538338218046808,0.590867598202424,0.714702124771794,-7.21453169296441
"hsa-miR-216",0.00777929194370941,5.76142633002183,0.525573883190075,0.599693975642202,0.717799558177038,-7.22131595225891
"hsa-miR-196a",-0.0493628113639693,6.50885942371179,-0.52374763301283,0.600961702703716,0.717799558177038,-7.22227332733589
"hsa-miR-339",-0.0420621143750015,8.12502980182969,-0.519250384876015,0.604088737079685,0.717799558177038,-7.22461674607396
"hsa-miR-302d",0.0036186917069454,5.77160588499563,0.513293244825538,0.608242150072465,0.718508270845836,-7.22768984201342
"hsa-miR-153",-0.011956745013725,5.8576117709607,-0.49588999017632,0.620448667599559,0.728666458459947,-7.23646496071093
"hsa-miR-31",-0.0403126959683009,6.46247048012227,-0.481917723710415,0.630325668611097,0.735987196875385,-7.24329153116689
"hsa-miR-373",0.00770647224860443,6.03152595008297,0.418536014253798,0.675948386130966,0.784721689646294,-7.27181320693826
"hsa-miR-299-5p",-0.022566395039946,6.54485357468559,-0.40332586220549,0.687085679962878,0.789834478562114,-7.27806131311879
"hsa-miR-30a-5p",0.033498655666504,11.2244748619913,0.40184650005338,0.688172614984812,0.789834478562114,-7.27865669063147
"hsa-miR-337",0.00418438968586621,5.84285163947162,0.376614367593339,0.706809706794166,0.806641586284867,-7.28847506688529
"hsa-miR-212",-0.0252661643485332,8.67762644448472,-0.355339727557232,0.722662899633611,0.817762732459778,-7.29625952833829
"hsa-miR-182*",-0.0092080009281803,5.93798870929258,-0.352683114910321,0.724651134209407,0.817762732459778,-7.29719984613285
"hsa-miR-147",0.00279036538300659,5.78153072274672,0.338964045569864,0.734948122152548,0.824775114860082,-7.30194356826156
"hsa-miR-363*",-0.00211856113790976,5.73714936743231,-0.326924095443141,0.744024584257058,0.830347878563126,-7.30595179845425
"hsa-miR-181b",-0.0188979280953472,9.99452561344105,-0.296649232597667,0.767003794537298,0.849307160347749,-7.31539071296306
"hsa-miR-32",0.0157433122954291,7.05886801324454,0.288304723240624,0.773374849528389,0.849307160347749,-7.31783131790393
"hsa-miR-371",0.00527296527206111,5.90263772144105,0.287975770341279,0.773626324277158,0.849307160347749,-7.31792610461891
"hsa-miR-376a",0.0334097812369354,8.05518622296943,0.267453021324221,0.789361636516074,0.861897570682416,-7.32362584152718
"hsa-miR-24",-0.0112800913251636,11.5604057824891,-0.218994856944826,0.826849545283536,0.897976387888571,-7.33541349925549
"hsa-miR-125b",0.015070509263877,13.5443447061135,0.195895642527293,0.844865952849234,0.907222721142458,-7.34020626908408
"hsa-miR-335",0.019747259495424,7.86863031596943,0.190830909345206,0.848827521147417,0.907222721142458,-7.34118582096993
"hsa-miR-299-3p",0.00847875561405065,6.51169383549782,0.188618786053282,0.850559027989651,0.907222721142458,-7.34160561193721
"hsa-miR-190",0.00524126389869295,5.95974533742358,0.185082762262944,0.853328302064688,0.907222721142458,-7.34226647532035
"hsa-miR-302b",-0.00118872996021224,5.77039042694323,-0.17096372665178,0.864403586390528,0.914185991889459,-7.34478061505101
"hsa-miR-146b",0.0146586585150317,8.00503878665939,0.159990437649862,0.873029951606685,0.917077030767475,-7.34659692766043
"hsa-miR-100",-0.0110840266575227,10.8267394451441,-0.155941060647244,0.876217163060014,0.917077030767475,-7.34723676820285
"hsa-miR-184",-0.00338835367769885,6.26216274000873,-0.116613263957255,0.907268957094357,0.942086437420704,-7.35259787866967
"hsa-miR-135b",0.00772794610939709,6.16757884360262,0.113871212432754,0.909439877708105,0.942086437420704,-7.3529139828093
"hsa-miR-30b",0.00720162025727245,7.95728931946288,0.0987945859895552,0.921387984000005,0.949593738612249,-7.35451766526983
"hsa-miR-10a",0.0110970127420753,7.115639516131,0.0851398903608648,0.932224730686241,0.955885256845791,-7.35577388952223
"hsa-miR-374",-0.00566144905236676,8.43517927768559,-0.0697568567996208,0.944448197923361,0.96352795949757,-7.35696571033231
"hsa-miR-30a-3p",0.00323476731715644,7.41382049763319,0.0527006019732507,0.958016504989248,0.972458964863458,-7.3580104302243
"hsa-miR-181c",-0.00329233768839465,8.56496242839301,-0.0455695518993059,0.963693139200091,0.973330070592092,-7.35836094693609
"hsa-miR-33",0.00316508250727487,7.70728547391703,0.0391601221650106,0.968796920974028,0.973616806153004,-7.35863258443313
"hsa-let-7d",-0.00113626282435142,11.5807010187074,-0.0190669271483319,0.984804354094301,0.984804354094301,-7.35921779237307
